id,name,description_sale,description_purchase,default_code,tag_ids,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,categ_id,uom_id,uom_po_id,description,valuation,standard_price,list_price,qty_available
product_product_92,Wall T200 Rockwool Color steel sheet/Color steel sheet,,,P10092,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_93,Wall T200 Rockwool Color steel sheet/Galvanized steel sheet,,,P10093,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_94,Wall T200 Rockwool Galvanized steel sheet/Galvanized steel sheet,,,P10094,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_95,Wall T200 Rockwool Stainless steel 304/Stainless steel 304,,,P10095,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_96,Wall T200 Rockwool Color steel sheet/Stainless steel 304,,,P10096,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_97,Wall T200 Rockwool Galvanized steel sheet/Stainless steel 305,,,P10097,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_98,Wall T25 PIR Color steel sheet/Color steel sheet,,,P10098,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_99,Wall T25 PIR Color steel sheet/Galvanized steel sheet,,,P10099,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_100,Wall T25 PIR Galvanized steel sheet/Galvanized steel sheet,,,P10100,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_101,Wall T25 PIR Stainless steel 304/Stainless steel 304,,,P10101,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_102,Wall T25 PIR Color steel sheet/Stainless steel 304,,,P10102,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_103,Wall T25 PIR Galvanized steel sheet/Stainless steel 305,,,P10103,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_104,Wall T42 PIR Color steel sheet/Color steel sheet,,,P10104,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_105,Wall T42 PIR Color steel sheet/Galvanized steel sheet,,,P10105,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_106,Wall T42 PIR Galvanized steel sheet/Galvanized steel sheet,,,P10106,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_107,Wall T42 PIR Stainless steel 304/Stainless steel 304,,,P10107,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_108,Wall T42 PIR Color steel sheet/Stainless steel 304,,,P10108,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_109,Wall T42 PIR Galvanized steel sheet/Stainless steel 305,,,P10109,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_110,Wall T50 PIR Color steel sheet/Color steel sheet,,,P10110,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_111,Wall T50 PIR Color steel sheet/Galvanized steel sheet,,,P10111,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_112,Wall T50 PIR Galvanized steel sheet/Galvanized steel sheet,,,P10112,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_113,Wall T50 PIR Stainless steel 304/Stainless steel 304,,,P10113,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
product_product_114,Wall T50 PIR Color steel sheet/Stainless steel 304,,,P10114,Clean Room,TRUE,FALSE,Service,Make to Order,Manufacture,,Standard Price,,Wall,sqm,sqm,,Real Time (automated),1,1,
