"id","loc_rack","loc_row","loc_case"
"product.product_part_346","02-04",,"Store ชั้น 2"
"product.product_part_347","02-04",,"Store ชั้น 2"
"product.product_part_348","02-04",,"Store ชั้น 2"
"product.product_part_349","Palete",,"Store ชั้น 2 New"
"product.product_part_350","02-04",,"Store ชั้น 2"
"product.product_part_351","02-04",,"Store ชั้น 2"
"product.product_part_352","02-04",,"Store ชั้น 2"
"product.product_part_353",,,"Store ชั้น 2"
"product.product_part_354","02-04",,"Store ชั้น 2"
"product.product_part_355","02-04",,"Store ชั้น 2"
"product.product_part_356","02-05",,"Store ชั้น 2"
"product.product_part_357","02-05",,"Store ชั้น 2"
"product.product_part_358","02-05",,"Store ชั้น 2"
"product.product_part_359","02-05",,"Store ชั้น 2"
"product.product_part_360","02-05",,"Store ชั้น 2"
"product.product_part_361","02-05",,"Store ชั้น 2"
"product.product_part_362","02-05",,"Store ชั้น 2"
"product.product_part_363","02-05",,"Store ชั้น 2"
"product.product_part_364","02-05",,"Store ชั้น 2"
"product.product_part_365","02-05",,"Store ชั้น 2"
"product.product_part_366","02-05",,"Store ชั้น 2"
"product.product_part_367","02-05",,"Store ชั้น 2"
"product.product_part_368","02-05",,"Store ชั้น 2"
"product.product_part_369","02-12",,"Store ชั้น 2"
"product.product_part_370",,,"Store ชั้น 2"
"product.product_part_371",,,"ไม่มีของ"
"product.product_part_372","02-05",,"Store ชั้น 2"
"product.product_part_373","02-06",,"Store ชั้น 2"
"product.product_part_374","02-06",,"Store ชั้น 2"
"product.product_part_375","02-05",,"Store ชั้น 2"
"product.product_part_376","02-06",,"Store ชั้น 2"
"product.product_part_377","02-06",,"Store ชั้น 2"
"product.product_part_378","02-06",,"Store ชั้น 2"
"product.product_part_379","02-06",,"Store ชั้น 2"
"product.product_part_380","ซิลิโคน",,"ห้องเคมี"
"product.product_part_381","02-06",,"Store ชั้น 2"
"product.product_part_382","02-06",,"Store ชั้น 2"
"product.product_part_383","02-09",,"Store ชั้น 2"
"product.product_part_384","02-06",,"Store ชั้น 2"
"product.product_part_385","02-06",,"Store ชั้น 2"
"product.product_part_386","02-06",,"Store ชั้น 2"
"product.product_part_387","02-06",,"Store ชั้น 2"
"product.product_part_388","02-07",,"Store ชั้น 2"
"product.product_part_389","ซิลิโคน",,"ห้องเคมี"
"product.product_part_390","Palete",,"Store ชั้น 2"
"product.product_part_391","02-10",,"Store ชั้น 2"
"product.product_part_392","02-07",,"Store ชั้น 2"
"product.product_part_393","02-11",,"Store ชั้น 2"
"product.product_part_394","Palete",,"ด้านล่าง"
"product.product_part_395","Palete",,"Store ชั้น 2 New"
"product.product_part_396","Palete",,"Store ชั้น 2 New"
"product.product_part_397","Palete",,"Store ชั้น 2 New"
"product.product_part_398","Palete",,"Store ชั้น 2 New"
"product.product_part_399","02-07",,"Store ชั้น 2"
"product.product_part_400",,,"ไม่มีของ"
"product.product_part_401",,,"ไม่มีของ"
"product.product_part_402","กระจก",,"โกดังคอยล์"
"product.product_part_403","02-07",,"Store ชั้น 2"
"product.product_part_404","02-12",,"Store ชั้น 2"
"product.product_part_405","02-07",,"Store ชั้น 2"
"product.product_part_406","02-07",,"Store ชั้น 2"
"product.product_part_407",,,"ไม่มีของ"
"product.product_part_408","02-07",,"Store ชั้น 2"
"product.product_part_409","02-01",,"Store ชั้น 2"
"product.product_part_410","กระจก",,"โกดังคอยล์"
"product.product_part_411","02-09",,"Store ชั้น 2"
"product.product_part_412","02-08",,"Store ชั้น 2"
"product.product_part_413","04-09",,"ออฟฟิสสโตร์"
"product.product_part_414","04-09",,"ออฟฟิสสโตร์"
"product.product_part_415","04-09",,"ออฟฟิสสโตร์"
"product.product_part_416","ข้างห้องเคมี",,"ด้านล่าง"
"product.product_part_417","02-08",,"Store ชั้น 2"
"product.product_part_418","02-09",,"Store ชั้น 2"
"product.product_part_419","02-08",,"Store ชั้น 2"
"product.product_part_420","02-08",,"Store ชั้น 2"
"product.product_part_421","02-08",,"Store ชั้น 2"
"product.product_part_422",,,"ไม่มีของ"
"product.product_part_423","Palete",,"Store ชั้น 2 New"
"product.product_part_424","Palete",,"Store ชั้น 2 New"
"product.product_part_425","02-09",,"Store ชั้น 2"
"product.product_part_426","02-09",,"Store ชั้น 2"
"product.product_part_427",,,"ไม่มีของ"
"product.product_part_428","02-07",,"Store ชั้น 2"
"product.product_part_429","Palete",,"Store ชั้น 2 New"
"product.product_part_430","Palete",,"Store ชั้น 2"
"product.product_part_431","Palete",,"Store ชั้น 2"
"product.product_part_432","Palete",,"Store ชั้น 2 New"
"product.product_part_433","02-10",,"Store ชั้น 2"
"product.product_part_434","02-10",,"Store ชั้น 2"
"product.product_part_435","02-11",,"Store ชั้น 2"
"product.product_part_436","02-09",,"Store ชั้น 2"
"product.product_part_437","02-09",,"Store ชั้น 2"
"product.product_part_438","02-10",,"Store ชั้น 2"
"product.product_part_439","02-10",,"Store ชั้น 2"
"product.product_part_440","02-11",,"Store ชั้น 2"
"product.product_part_441","02-12",,"Store ชั้น 2"
"product.product_part_442","02-12",,"Store ชั้น 2"
"product.product_part_443","02-10",,"Store ชั้น 2"
"product.product_part_444","02-10",,"Store ชั้น 2"
"product.product_part_445","Palete",,
"product.product_part_446","02-09",,"Store ชั้น 2"
"product.product_part_447",,,"ไม่มีของ"
"product.product_part_448","02-11",,"Store ชั้น 2"
"product.product_part_449","02-11",,"Store ชั้น 2"
"product.product_part_450","02-11",,"Store ชั้น 2"
"product.product_part_451","02-11",,"Store ชั้น 2"
"product.product_part_452","02-11",,"Store ชั้น 2"
"product.product_part_453","02-11",,"Store ชั้น 2"
"product.product_part_454","02-11",,"Store ชั้น 2"
"product.product_part_455","02-11",,"Store ชั้น 2"
"product.product_part_456","02-11",,"Store ชั้น 2"
"product.product_part_457","02-11",,"Store ชั้น 2"
"product.product_part_458","02-11",,"Store ชั้น 2"
"product.product_part_459","02-11",,"Store ชั้น 2"
"product.product_part_460","02-11",,"Store ชั้น 2"
"product.product_part_461","02-11",,"Store ชั้น 2"
"product.product_part_461-1","02-11",,"Store ชั้น 2"
"product.product_part_462","Palete",,"Store ชั้น 2"
"product.product_part_463","Palete",,"Store ชั้น 2"
"product.product_part_464","03-01",,"Store ชั้น 2"
"product.product_part_465","03-01",,"Store ชั้น 2"
"product.product_part_466","03-06",,"Store ชั้น 2"
"product.product_part_467",,,"โกดังคอยล์"
"product.product_part_468",,,"โกดังคอยล์"
"product.product_part_469","Palete",,"Store ชั้น 2"
"product.product_part_470","Palete",,"Store ชั้น 2"
"product.product_part_471","03-01",,"Store ชั้น 2"
"product.product_part_472","03-05",,"Store ชั้น 2"
"product.product_part_473","Palete",,"ด้านล่าง"
"product.product_part_474","03-05",,"Store ชั้น 2"
"product.product_part_475","03-01",,"Store ชั้น 2"
"product.product_part_476","03-06",,"Store ชั้น 2"
"product.product_part_477","Palete",,"Store ชั้น 2 New"
"product.product_part_478","03-01",,"Store ชั้น 2"
"product.product_part_479","Palete",,"Store ชั้น 2"
"product.product_part_480","03-01",,"Store ชั้น 2"
"product.product_part_481","Palete",,"Store ชั้น 2"
"product.product_part_482","ซิลิโคน",,"ห้องเคมี"
"product.product_part_483","ซิลิโคน",,"ห้องเคมี"
"product.product_part_484","03-06",,"Store ชั้น 2"
"product.product_part_485","03-06",,"Store ชั้น 2"
"product.product_part_486","03-06",,"Store ชั้น 2"
"product.product_part_487","03-06",,"Store ชั้น 2"
