id,name,code,parent_id/id,type,user_type/id,reconcile
coa_sqp_104,สินทรัพย์อื่น ๆ,104,coa_sqp_102,View,account.data_account_type_view,FALSE
coa_sqp_102110,บัญชีเงินมัดจำที่เรียกคืนได้,102110,coa_sqp_104,Regular,account.data_account_type_asset,FALSE
coa_sqp_102114,เงินประกันเครื่องจักร,102114,coa_sqp_104,Regular,account.data_account_type_asset,FALSE
coa_sqp_102120,สินทรัพย์อื่น ๆ,102120,coa_sqp_104,Regular,account.data_account_type_asset,FALSE
coa_sqp_102130,ดอกเบี้ยรอตัดจ่าย-ส่วนที่ยังไม่ถึงกำหนดชำระ,102130,coa_sqp_104,Regular,account.data_account_type_asset,FALSE
coa_sqp_20,หนี้สินและส่วนของผู้ถือหุ้น,20,coa_sqp_1,View,account.data_account_type_view,FALSE
coa_sqp_200,หนี้สิน,200,coa_sqp_20,View,account.data_account_type_view,FALSE
coa_sqp_205,หนี้สินหมุนเวียน,205,coa_sqp_200,View,account.data_account_type_view,FALSE
coa_sqp_2011,เงินกู้ยืมระยะสั้น,2011,coa_sqp_205,View,account.data_account_type_view,FALSE
coa_sqp_201120,เงินกู้ยืมธนาคารระยะสั้น,201120,coa_sqp_2011,Regular,account.data_account_type_liability,FALSE
coa_sqp_201121,เงินกู้ยืมระยะสั้น-UOB,201121,coa_sqp_2011,Regular,account.data_account_type_liability,FALSE
coa_sqp_201122,เงินกู้ยืมระยะสั้น-KBANK,201122,coa_sqp_2011,Regular,account.data_account_type_liability,FALSE
coa_sqp_2012,เจ้าหนี้การค้าและตั๋วเงินจ่าย,2012,coa_sqp_205,View,account.data_account_type_view,FALSE
coa_sqp_201210,เจ้าหนี้การค้า-ในประเทศ,201210,coa_sqp_2012,Payable,account.data_account_type_payable,TRUE
coa_sqp_201220,เจ้าหนี้การค้า-ต่างประเทศ,201220,coa_sqp_2012,Payable,account.data_account_type_payable,TRUE
coa_sqp_201230,เช็คจ่ายล่วงหน้า,201230,coa_sqp_2012,Regular,account.data_account_type_liability,FALSE
coa_sqp_2013,เจ้าหนี้อื่น ๆ,2013,coa_sqp_205,View,account.data_account_type_view,FALSE
coa_sqp_201310,เจ้าหนี้อื่น ๆ,201310,coa_sqp_2013,Regular,account.data_account_type_liability,FALSE
coa_sqp_201320,เจ้าหนี้-บริษัทในเครือ,201320,coa_sqp_2013,Regular,account.data_account_type_liability,FALSE
coa_sqp_201330,เจ้าหนี้ยานพาหนะ,201330,coa_sqp_2013,Regular,account.data_account_type_liability,FALSE
coa_sqp_2014,หนี้สินหมุนเวียนอื่น ๆ,2014,coa_sqp_205,View,account.data_account_type_view,FALSE
coa_sqp_201410,เงินมัดจำจากลูกค้า,201410,coa_sqp_2014,Regular,account.data_account_type_liability,FALSE
coa_sqp_201420,เงินประกันสังคมค้างจ่าย,201420,coa_sqp_2014,Regular,account.data_account_type_liability,FALSE
coa_sqp_201430,ค่าใช้จ่ายค้างจ่าย,201430,coa_sqp_2014,Regular,account.data_account_type_liability,FALSE
coa_sqp_201431,ค่าเช่าค้างจ่าย,201431,coa_sqp_2014,Regular,account.data_account_type_liability,FALSE
