"id","name","default_code","categ_id","uom_id","uos_id","uos_coeff","loc_rack","loc_row","loc_case",,
"product.product_part_157","AL STRIP COVER(NA.1)","SP01266","Aluminium","pcs","kg",0,"01-13",,"โกดังอะลูมิเนียม",,
"product.product_part_158","AL STRIP COVER(MF)","SP01267","Aluminium","pcs","kg",0,"01-08",,"โกดังอะลูมิเนียม",,
"product.product_part_159","AL STRIP COVER(OW)","SP01268","Aluminium","pcs","kg",0,,,"โกดังอะลูมิเนียม",,
"product.product_part_160","AL STRIP COVER(AP)","SP01269","Aluminium","pcs","kg",0,,,"โกดังอะลูมิเนียม",,
"product.product_part_161","AL PROFILE FOR DOUBLE SWING DOOR 42 mm(NA.1)","SP01271","Aluminium","pcs","kg",4,"01-11",,"โกดังอะลูมิเนียม",,
"product.product_part_162","AL PROFILE FOR DOUBLE SWING DOOR 42 mm(MF)","SP01272","Aluminium","pcs","kg",4,,,"โกดังอะลูมิเนียม",,
"product.product_part_163","AL PROFILE FOR DOUBLE SWING DOOR 42 mm(OW)","SP01273","Aluminium","pcs","kg",4,"01-11",,"โกดังอะลูมิเนียม",,
"product.product_part_164","AL PROFILE FOR DOUBLE SWING DOOR 42 mm(AP)","SP01274","Aluminium","pcs","kg",4,"01-12",,"โกดังอะลูมิเนียม",,
"product.product_part_165","AL กล่อง 1 3/4"" X 1 3/4""(NA.1)","SP01275","Aluminium","pcs","kg",,"01-07",,"โกดังอะลูมิเนียม",,
"product.product_part_166","AL กล่อง 1 3/4"" X 1 3/4""(MF)","SP01276","Aluminium","pcs","kg",,,,"โกดังอะลูมิเนียม",,
"product.product_part_167","AL กล่อง 1 3/4"" X 1 3/4""(OW)","SP01277","Aluminium","pcs","kg",,"01-15",,"โกดังอะลูมิเนียม",,
"product.product_part_168","AL กล่อง 1 3/4"" X 1 3/4""(AP)","SP01278","Aluminium","pcs","kg",,"01-15",,"โกดังอะลูมิเนียม",,
"product.product_part_169","AL กล่อง 1 3/4"" X 1""(NA.1)","SP01279","Aluminium","pcs","kg",,"01-03",,"โกดังอะลูมิเนียม",,
"product.product_part_170","AL กล่อง 1 3/4"" X 1""(MF)","SP01280","Aluminium","pcs","kg",,,,"โกดังอะลูมิเนียม",,
"product.product_part_171","AL กล่อง 1 3/4"" X 1""(OW)","SP01281","Aluminium","pcs","kg",,"01-03",,"โกดังอะลูมิเนียม",,
"product.product_part_172","AL กล่อง 1 3/4"" X 1""(AP)","SP01282","Aluminium","pcs","kg",,"01-03",,"โกดังอะลูมิเนียม",,
"product.product_part_173","AL ANGLE 2"" X 2"" X 3 mm(NA.1)","SP01283","Aluminium","pcs","kg",,,,"โกดังอะลูมิเนียม",,
"product.product_part_174","AL ANGLE 2"" X 2"" X 3 mm(MF)","SP01284","Aluminium","pcs","kg",,"01-01",,"โกดังอะลูมิเนียม",,
"product.product_part_175","AL ANGLE 2"" X 2"" X 3 mm(OW)","SP01285","Aluminium","pcs","kg",,,,"โกดังอะลูมิเนียม",,
"product.product_part_176","AL ANGLE 2"" X 2"" X 3 mm(AP)","SP01286","Aluminium","pcs","kg",,,,"โกดังอะลูมิเนียม",,
"product.product_part_177","AL PROFILE FOR DOUBLE SWING DOOR II(MF)","SP01288","Aluminium","pcs","kg",4,"01-10",,"โกดังอะลูมิเนียม",,
"product.product_part_178","AL PROFILE FOR DOUBLE SWING DOOR II(OW)","SP01289","Aluminium","pcs","kg",4,"01-07",,"โกดังอะลูมิเนียม",,
"product.product_part_179","AL PROFILE FOR DOUBLE SWING DOOR II(AP)","SP01290","Aluminium","pcs","kg",4,"01-08",,"โกดังอะลูมิเนียม",,
"product.product_part_180","AL PROFILE FOR DOUBLE SWING DOOR III(MF)","SP01292","Aluminium","pcs","kg",3,"01-16",,"โกดังอะลูมิเนียม",,
"product.product_part_181","AL PROFILE FOR DOUBLE SWING DOOR III(OW)","SP01293","Aluminium","pcs","kg",3,,,"โกดังอะลูมิเนียม",,
